UT,TI,AU,PY,SO,DE,AB,DI
WOS:001651855000001,From Content to Conversation: Explaining Adoption of On-Device,"Chen, MY",2025,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,10.1080/10447318.2025.2604631
WOS:001409059200001,Classification performance and reproducibility of GPT-4 omni for,"Wulcan, JM",2025,FRONTIERS IN VETERINARY SCIENCE,,,10.3389/fvets.2024.1490030
WOS:001376297800001,Enhancing the Digital Inheritance and Development of Chinese Intangible,"Dai, MG",2024,APPLIED SCIENCES-BASEL,,,10.3390/app142311032
WOS:000795410900001,Multi-Scale Upsampling GAN Based Hole-Filling Framework for High-Quality,"Ren, Y",2022,APPLIED SCIENCES-BASEL,,,10.3390/app12094581
WOS:001374721200002,LOGIC: LLM-originated guidance for internal cognitive improvement of,"Lee, W",2024,PEERJ COMPUTER SCIENCE,,,10.7717/peerj-cs.2585
WOS:001217305600001,The Bullwhip Effect in Servitized Manufacturers,"Niu, YM",2025,MANAGEMENT SCIENCE,,,10.1287/mnsc.2023.01026
WOS:001606446100002,A hierarchical framework for measuring scientific paper innovation via,"Tan, HM",2026,INFORMATION SCIENCES,,,10.1016/j.ins.2025.122787
WOS:001495061500003,And Plato met ChatGPT: an ethical reflection on the use of chatbots in,"Calderon, R",2025,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,,,10.1057/s41599-025-04650-0
WOS:001494794000006,The future of urban travel and tourism: a text mining analysis of,"Lin, BY",2025,JOURNAL OF TRAVEL & TOURISM MARKETING,,,10.1080/10548408.2025.2469118
WOS:001515413800001,Transformative Metaverse Pedagogy for Intangible Heritage: A Gamified,"Intawong, K",2025,EDUCATION SCIENCES,,,10.3390/educsci15060736
WOS:001531251900001,Embodied heritage by integrating digital and physical visualization of,"Yu, J",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01942-1
WOS:001429202600001,Improving entity recognition using ensembles of deep learning and,"Li, YM",2025,JOURNAL OF BIOMEDICAL INFORMATICS,,,10.1016/j.jbi.2025.104789
WOS:001544696000001,Language model collaboration for relation extraction from classical,"Tang, XM",2026,INFORMATION PROCESSING & MANAGEMENT,,,10.1016/j.ipm.2025.104286
WOS:001466916100004,Applied research on innovation and development of blue calico of Chinese,"He, JL",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-96587-2
WOS:001230280300001,Sgrgan: sketch-guided restoration for traditional Chinese landscape,"Hu, QY",2024,HERITAGE SCIENCE,,,10.1186/s40494-024-01253-x
WOS:001639344900042,Information Extraction of Doctoral Theses Using Two Different Large,"Cittadino, J",2025,JMIR FORMATIVE RESEARCH,,,10.2196/77707
WOS:001125073500001,Extracting structured information from unstructured histopathology,"Truhn, D",2024,JOURNAL OF PATHOLOGY,,,10.1002/path.6232
WOS:001208020100001,Product Helpfulness Detection With Novel Transformer Based BERT,"Ishtiaq, A",2024,IEEE ACCESS,,,10.1109/ACCESS.2024.3390605
WOS:001492454500001,Exploring Cognitive Difference in Poetry Collection via Large Language,"Bao, H",2025,COGNITIVE COMPUTATION,,,10.1007/s12559-025-10466-6
WOS:001160410900001,"Generative AI, Teacher Knowledge and Educational Research: Bridging","Mishra, P",2024,TECHTRENDS,,,10.1007/s11528-024-00938-1
WOS:001164366100007,A novel approach to voice of customer extraction using GPT-3.5 Turbo:,"Shahin, M",2024,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,,,10.1007/s00170-024-13167-w
WOS:001666113700001,Application of deep learning for transformation of Chinese traditional,"Liu, Y",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-32302-5
WOS:001616612600003,Use of Large Language Models to Extract Cost-Effectiveness Analysis,"Gu, XJ",2025,VALUE IN HEALTH,,,10.1016/j.jval.2025.05.008
WOS:001618327500001,Transforming world and word: a longitudinal analysis of verb usage,"Hirosawa, T",2025,AI & SOCIETY,,,10.1007/s00146-025-02750-8
WOS:001119243600001,Large Language Models as Recommendation Systems in Museums,"Trichopoulos, G",2023,ELECTRONICS,,,10.3390/electronics12183829
WOS:001581597100001,Text Mining for Process-Structure-Properties Relationships in Metals,"Verma, AK",2025,INTEGRATING MATERIALS AND MANUFACTURING INNOVATION,,,10.1007/s40192-025-00420-7
WOS:001449801600001,A group recommendation method based on automatically integrating,"Feng, SS",2025,INFORMATION SCIENCES,,,10.1016/j.ins.2025.122067
WOS:001649799000001,Combining Suspect Screening with Large Language Model-Based Text Mining,"Cheng, X",2026,ENVIRONMENTAL SCIENCE & TECHNOLOGY,,,10.1021/acs.est.5c12937
WOS:001637086400001,Between regulation and accessibility: how Chinese university students,"Xie, Q",2025,GLOBALISATION SOCIETIES AND EDUCATION,,,10.1080/14767724.2025.2598275
WOS:001620952800032,Explainable AI with fine-tuned large language models for sustainable,"Zhou, K",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-25406-5
WOS:001649697700024,RehabKD With LLM-KG-LDACX: Orchestrating AI Models for Rehabilitation,"Zhang, W",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3645851
WOS:001138262400004,Diminished diversity-of-thought in a standard large language model,"Park, PS",2024,BEHAVIOR RESEARCH METHODS,,,10.3758/s13428-023-02307-x
WOS:001533592100001,The GenAI divide among university students: A call for action☆,"Beckman, K",2025,INTERNET AND HIGHER EDUCATION,,,10.1016/j.iheduc.2025.101036
WOS:001649228600001,Investigating user perception of underground public space from a,"Ma, CX",2026,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,,,10.1016/j.tust.2025.107390
WOS:001585289600001,A structural information-guided cross-modal method for damaged,"Liu, YJ",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-02059-1
WOS:001466474100001,Research on the construction and application of urban and rural,"Deng, JF",2025,GEOJOURNAL,,,10.1007/s10708-025-11343-3
WOS:001348514200001,What are the future trends in natural gas technology to address climate,"Kim, M",2024,ENERGY,,,10.1016/j.energy.2024.133644
WOS:001475621400001,Multi-Stage Simulation of Residents' Disaster Risk Perception and,"Zhao, XJ",2025,SYSTEMS,,,10.3390/systems13040240
WOS:001547370800001,Use of Large Language Models for Extracting and Analyzing Data from,"Walls, BW",2025,ACS CATALYSIS,,,10.1021/acscatal.5c03844
